"template_id","template_code","template_name","module","event_type","channel","subject_template","body_template","body_format","variables_json","is_active","is_ai_enabled","ai_prompt_template","created_by","created_on","modified_on"
1,"RATE_APPROVAL_REQ","Rate Approval Request","RATE_CALC","APPROVAL_PENDING","EMAIL","Rate Approval Required - {{reference_no}}","<p>Dear {{approver_name}},</p><p>A rate calculation <strong>{{reference_no}}</strong> for <strong>{{party_name}}</strong> requires your approval.</p><p>Amount: ₹{{amount}}</p><p><a href=""{{action_url}}"">Review & Approve</a></p>","HTML",NULL,True,True,NULL,NULL,"2026-02-20 12:23:56.013525","2026-02-20 12:23:56.013525"
2,"RATE_APPROVED","Rate Approved","RATE_CALC","APPROVED","EMAIL","Rate Approved - {{reference_no}}","<p>Dear {{requester_name}},</p><p>Rate calculation <strong>{{reference_no}}</strong> has been approved by {{approver_name}}.</p><p>You can now generate the quotation.</p>","HTML",NULL,True,False,NULL,NULL,"2026-02-20 12:23:56.013525","2026-02-20 12:23:56.013525"
3,"QUOT_SENT","Quotation Sent to Customer","QUOTATION","QUOTATION_SENT","EMAIL","Quotation {{quotation_no}} from {{company_name}}","<p>Dear {{customer_name}},</p><p>Please find attached quotation <strong>{{quotation_no}}</strong>.</p><p>Valid until: {{valid_until}}</p><p>Amount: ₹{{amount}}</p>","HTML",NULL,True,True,NULL,NULL,"2026-02-20 12:23:56.013525","2026-02-20 12:23:56.013525"
4,"QUOT_SENT_WA","Quotation Sent WhatsApp","QUOTATION","QUOTATION_SENT","WHATSAPP",NULL,"Hello {{customer_name}}, your quotation {{quotation_no}} for ₹{{amount}} is ready. Valid till {{valid_until}}. Please check your email for details.","HTML",NULL,True,False,NULL,NULL,"2026-02-20 12:23:56.013525","2026-02-20 12:23:56.013525"
5,"JOB_CREATED","Job Created","JOB","JOB_CREATED","IN_APP",NULL,"New Job {{job_no}} created for {{party_name}}. Product: {{product_name}}, Qty: {{quantity}}","HTML",NULL,True,False,NULL,NULL,"2026-02-20 12:23:56.013525","2026-02-20 12:23:56.013525"
6,"JOB_ASSIGNED","Job Card Assigned","JOB","JOB_ASSIGNED","IN_APP",NULL,"Job Card {{job_card_no}} assigned to you for {{process_name}}. Job: {{job_no}}","HTML",NULL,True,False,NULL,NULL,"2026-02-20 12:23:56.013525","2026-02-20 12:23:56.013525"
7,"JOB_COMPLETED","Job Completed","JOB","JOB_COMPLETED","EMAIL","Job {{job_no}} Completed","<p>Job <strong>{{job_no}}</strong> has been completed.</p><p>Product: {{product_name}}</p><p>Quantity: {{quantity}}</p>","HTML",NULL,True,True,NULL,NULL,"2026-02-20 12:23:56.013525","2026-02-20 12:23:56.013525"
8,"TASK_ASSIGNED","Task Assigned","GENERAL","TASK_ASSIGNED","IN_APP",NULL,"{{task_title}} - {{task_description}}","HTML",NULL,True,False,NULL,NULL,"2026-02-20 12:23:56.013525","2026-02-20 12:23:56.013525"
9,"APPROVAL_PENDING","Approval Pending","GENERAL","APPROVAL_PENDING","IN_APP",NULL,"Approval pending for {{module}} - {{reference_no}}. Amount: ₹{{amount}}","HTML",NULL,True,False,NULL,NULL,"2026-02-20 12:23:56.013525","2026-02-20 12:23:56.013525"
10,"ERROR_ALERT","System Error Alert","SYSTEM","ERROR","EMAIL","System Error - {{error_source}}","<p>An error occurred in <strong>{{error_source}}</strong>.</p><p>Message: {{error_message}}</p><p>Severity: {{severity}}</p>","HTML",NULL,True,True,NULL,NULL,"2026-02-20 12:23:56.013525","2026-02-20 12:23:56.013525"
11,"OVERDUE_TASK","Overdue Task Alert","GENERAL","TASK_OVERDUE","EMAIL","Overdue Task: {{task_title}}","<p>Task <strong>{{task_title}}</strong> assigned to {{assigned_to}} is overdue.</p><p>Due: {{due_date}}</p>","HTML",NULL,True,True,NULL,NULL,"2026-02-20 12:23:56.013525","2026-02-20 12:23:56.013525"
